Image Path,Class,Confidence
/home/ubuntu/Ass4/102flowers/images/image_03991.jpg,petunia,0.5015681385993958
/home/ubuntu/Ass4/102flowers/images/image_03322.jpg,bird of paradise,0.9221349358558655
/home/ubuntu/Ass4/102flowers/images/image_02903.jpg,tree mallow,0.8615022897720337
/home/ubuntu/Ass4/102flowers/images/image_07374.jpg,foxglove,0.8683881759643555
/home/ubuntu/Ass4/102flowers/images/image_02919.jpg,tree mallow,0.8559066653251648
/home/ubuntu/Ass4/102flowers/images/image_00885.jpg,frangipani,0.9385786652565002
/home/ubuntu/Ass4/102flowers/images/image_08028.jpg,blackberry lily,0.645146906375885
/home/ubuntu/Ass4/102flowers/images/image_00031.jpg,passion flower,0.957299530506134
/home/ubuntu/Ass4/102flowers/images/image_02764.jpg,bishop of llandaff,0.8184868693351746
/home/ubuntu/Ass4/102flowers/images/image_02682.jpg,geranium,0.8772826790809631
/home/ubuntu/Ass4/102flowers/images/image_01673.jpg,clematis,0.6271740794181824
/home/ubuntu/Ass4/102flowers/images/image_06905.jpg,hard-leaved pocket orchid,0.758348286151886
/home/ubuntu/Ass4/102flowers/images/image_04651.jpg,buttercup,0.7797726988792419
/home/ubuntu/Ass4/102flowers/images/image_05336.jpg,tree poppy,0.6701976656913757
/home/ubuntu/Ass4/102flowers/images/image_02275.jpg,barbeton daisy,0.8533117175102234
/home/ubuntu/Ass4/102flowers/images/image_01898.jpg,lotus lotus,0.6134445071220398
/home/ubuntu/Ass4/102flowers/images/image_01898.jpg,magnolia,0.3490394055843353
/home/ubuntu/Ass4/102flowers/images/image_05324.jpg,tree poppy,0.7068522572517395
/home/ubuntu/Ass4/102flowers/images/image_05910.jpg,bearded iris,0.6620551347732544
/home/ubuntu/Ass4/102flowers/images/image_06941.jpg,mexican aster,0.31415048241615295
/home/ubuntu/Ass4/102flowers/images/image_02955.jpg,pink-yellow dahlia,0.9327187538146973
/home/ubuntu/Ass4/102flowers/images/image_00058.jpg,passion flower,0.9425623416900635
/home/ubuntu/Ass4/102flowers/images/image_07059.jpg,spring crocus,0.5223859548568726
/home/ubuntu/Ass4/102flowers/images/image_07945.jpg,trumpet creeper,0.3235063850879669
/home/ubuntu/Ass4/102flowers/images/image_07725.jpg,mallow,0.3191486895084381
/home/ubuntu/Ass4/102flowers/images/image_06810.jpg,fire lily,0.6714541912078857
/home/ubuntu/Ass4/102flowers/images/image_04941.jpg,ruby-lipped cattleya,0.5445446968078613
/home/ubuntu/Ass4/102flowers/images/image_03872.jpg,purple coneflower,0.9090829491615295
/home/ubuntu/Ass4/102flowers/images/image_05052.jpg,orange dahlia,0.9209129810333252
/home/ubuntu/Ass4/102flowers/images/image_06187.jpg,balloon flower,0.2973088324069977
/home/ubuntu/Ass4/102flowers/images/image_06118.jpg,silverbush,0.763495683670044
/home/ubuntu/Ass4/102flowers/images/image_05032.jpg,orange dahlia,0.8758001923561096
/home/ubuntu/Ass4/102flowers/images/image_02758.jpg,bishop of llandaff,0.730549156665802
/home/ubuntu/Ass4/102flowers/images/image_04806.jpg,snapdragon,0.7429433465003967
/home/ubuntu/Ass4/102flowers/images/image_07343.jpg,foxglove,0.8199600577354431
/home/ubuntu/Ass4/102flowers/images/image_04956.jpg,marigold,0.6859127879142761
/home/ubuntu/Ass4/102flowers/images/image_01766.jpg,hibiscus,0.8020734190940857
/home/ubuntu/Ass4/102flowers/images/image_00784.jpg,frangipani,0.8536356091499329
/home/ubuntu/Ass4/102flowers/images/image_05007.jpg,marigold,0.8957162499427795
/home/ubuntu/Ass4/102flowers/images/image_01452.jpg,petunia,0.4334091544151306
/home/ubuntu/Ass4/102flowers/images/image_00760.jpg,watercress,0.8948280811309814
/home/ubuntu/Ass4/102flowers/images/image_03070.jpg,great masterwort,0.2691737115383148
/home/ubuntu/Ass4/102flowers/images/image_07587.jpg,bougainvillea,0.8725710511207581
/home/ubuntu/Ass4/102flowers/images/image_06512.jpg,hibiscus,0.3818560540676117
/home/ubuntu/Ass4/102flowers/images/image_02198.jpg,barbeton daisy,0.6380691528320312
/home/ubuntu/Ass4/102flowers/images/image_02198.jpg,osteospermum,0.3367486596107483
/home/ubuntu/Ass4/102flowers/images/image_00072.jpg,passion flower,0.9512757658958435
/home/ubuntu/Ass4/102flowers/images/image_08128.jpg,purple coneflower,0.3513849675655365
/home/ubuntu/Ass4/102flowers/images/image_02639.jpg,geranium,0.7433335185050964
/home/ubuntu/Ass4/102flowers/images/image_06125.jpg,pelargonium,0.7020455598831177
/home/ubuntu/Ass4/102flowers/images/image_05269.jpg,stemless gentian,0.7141717672348022
/home/ubuntu/Ass4/102flowers/images/image_05510.jpg,magnolia,0.47860386967658997
/home/ubuntu/Ass4/102flowers/images/image_05031.jpg,orange dahlia,0.9469549059867859
/home/ubuntu/Ass4/102flowers/images/image_04172.jpg,wild pansy,0.7076193690299988
/home/ubuntu/Ass4/102flowers/images/image_01446.jpg,petunia,0.9670839309692383
/home/ubuntu/Ass4/102flowers/images/image_03084.jpg,bee balm,0.5615811347961426
